implementation,byte_value,time_ns,sample_id
Vulnerable (Naive),5,41811.2,12
Safe (PyCryptodome),5,5471.2,12
Vulnerable (Naive),5,33275.4,13
Safe (PyCryptodome),5,6446.8,13
Vulnerable (Naive),5,41889.2,14
Safe (PyCryptodome),5,5186.2,14
Vulnerable (Naive),5,34778.0,15
Safe (PyCryptodome),5,6196.0,15
Vulnerable (Naive),5,33340.2,16
Safe (PyCryptodome),5,6652.4,16
Vulnerable (Naive),5,23115.6,17
Safe (PyCryptodome),5,3206.0,17
Vulnerable (Naive),5,36036.4,18
Safe (PyCryptodome),5,7695.2,18
Vulnerable (Naive),5,36982.0,19
Safe (PyCryptodome),5,5741.4,19
Vulnerable (Naive),5,16948.2,20
Safe (PyCryptodome),5,2978.2,20
Vulnerable (Naive),5,37030.6,21
Safe (PyCryptodome),5,6266.0,21
Vulnerable (Naive),5,33179.4,22
Safe (PyCryptodome),5,3399.4,22
Vulnerable (Naive),5,23230.8,23
Safe (PyCryptodome),5,7055.6,23
Vulnerable (Naive),5,37203.4,24
Safe (PyCryptodome),5,6906.8,24
Vulnerable (Naive),5,32404.6,25
Safe (PyCryptodome),5,5684.6,25
Vulnerable (Naive),5,25889.4,26
Safe (PyCryptodome),5,6427.0,26
Vulnerable (Naive),5,29654.8,27
Safe (PyCryptodome),5,10724.6,27
Vulnerable (Naive),5,31151.4,28
Safe (PyCryptodome),5,5791.8,28
Vulnerable (Naive),5,31503.0,29
Safe (PyCryptodome),5,4497.2,29
Vulnerable (Naive),5,35304.6,30
Safe (PyCryptodome),5,7069.0,30
Vulnerable (Naive),5,37261.6,31
Safe (PyCryptodome),5,10399.4,31
Vulnerable (Naive),5,42517.8,32
Safe (PyCryptodome),5,6937.6,32
Vulnerable (Naive),5,40342.2,33
Safe (PyCryptodome),5,6036.6,33
Vulnerable (Naive),5,27845.2,34
Safe (PyCryptodome),5,7026.8,34
Vulnerable (Naive),5,40471.4,35
Safe (PyCryptodome),5,7020.2,35
Vulnerable (Naive),5,35237.0,36
Safe (PyCryptodome),5,7120.0,36
Vulnerable (Naive),5,41103.2,37
Safe (PyCryptodome),5,6647.2,37
Vulnerable (Naive),5,38266.6,38
Safe (PyCryptodome),5,6502.2,38
Vulnerable (Naive),5,32429.6,39
Safe (PyCryptodome),5,5769.8,39
Vulnerable (Naive),5,33972.4,40
Safe (PyCryptodome),5,5780.8,40
Vulnerable (Naive),5,37640.8,41
Safe (PyCryptodome),5,6810.2,41
Vulnerable (Naive),5,35738.8,42
Safe (PyCryptodome),5,5011.6,42
Vulnerable (Naive),5,32244.2,43
Safe (PyCryptodome),5,5391.0,43
Vulnerable (Naive),5,35209.4,44
Safe (PyCryptodome),5,5058.2,44
Vulnerable (Naive),5,34780.8,45
Safe (PyCryptodome),5,6487.6,45
Vulnerable (Naive),5,39830.2,46
Safe (PyCryptodome),5,6714.2,46
Vulnerable (Naive),5,34976.8,47
Safe (PyCryptodome),5,6364.0,47
Vulnerable (Naive),5,35339.4,48
Safe (PyCryptodome),5,5762.2,48
Vulnerable (Naive),5,34046.4,49
Safe (PyCryptodome),5,5786.4,49
Vulnerable (Naive),6,36894.0,0
Safe (PyCryptodome),6,7075.4,0
Vulnerable (Naive),6,36792.4,1
Safe (PyCryptodome),6,5212.0,1
Vulnerable (Naive),6,33123.2,2
Safe (PyCryptodome),6,5471.8,2
Vulnerable (Naive),6,32637.2,3
Safe (PyCryptodome),6,7703.0,3
Vulnerable (Naive),6,35750.0,4
Safe (PyCryptodome),6,5854.0,4
Vulnerable (Naive),6,34389.0,5
Safe (PyCryptodome),6,5068.4,5
Vulnerable (Naive),6,46500.8,6
Safe (PyCryptodome),6,7536.2,6
Vulnerable (Naive),6,35532.8,7
Safe (PyCryptodome),6,5299.6,7
Vulnerable (Naive),6,34259.8,8
Safe (PyCryptodome),6,4840.6,8
Vulnerable (Naive),6,39034.6,9
Safe (PyCryptodome),6,7313.2,9
Vulnerable (Naive),6,38146.4,10
Safe (PyCryptodome),6,5710.6,10
Vulnerable (Naive),6,35618.2,11
Safe (PyCryptodome),6,7150.4,11
Vulnerable (Naive),6,37627.6,12
Safe (PyCryptodome),6,9895.2,12
Vulnerable (Naive),6,42088.6,13
Safe (PyCryptodome),6,4245.0,13
Vulnerable (Naive),6,14811.4,14
Safe (PyCryptodome),6,3087.4,14
Vulnerable (Naive),6,15657.6,15
Safe (PyCryptodome),6,2680.4,15
Vulnerable (Naive),6,14848.2,16
Safe (PyCryptodome),6,2837.8,16
Vulnerable (Naive),6,15444.0,17
Safe (PyCryptodome),6,2928.6,17
Vulnerable (Naive),6,34847.8,18
Safe (PyCryptodome),6,5864.8,18
Vulnerable (Naive),6,35243.4,19
Safe (PyCryptodome),6,2911.0,19
Vulnerable (Naive),6,14939.6,20
Safe (PyCryptodome),6,2703.0,20
Vulnerable (Naive),6,24430.2,21
Safe (PyCryptodome),6,6551.2,21
Vulnerable (Naive),6,23817.0,22
Safe (PyCryptodome),6,3066.0,22
Vulnerable (Naive),6,27238.4,23
Safe (PyCryptodome),6,6052.8,23
Vulnerable (Naive),6,35625.6,24
Safe (PyCryptodome),6,6106.0,24
Vulnerable (Naive),6,32162.6,25
Safe (PyCryptodome),6,4965.4,25
Vulnerable (Naive),6,19398.2,26
Safe (PyCryptodome),6,3420.0,26
Vulnerable (Naive),6,26252.2,27
Safe (PyCryptodome),6,3999.8,27
Vulnerable (Naive),6,39643.2,28
Safe (PyCryptodome),6,7087.2,28
Vulnerable (Naive),6,33795.0,29
Safe (PyCryptodome),6,4487.4,29
Vulnerable (Naive),6,31932.4,30
Safe (PyCryptodome),6,4094.4,30
Vulnerable (Naive),6,34754.6,31
Safe (PyCryptodome),6,8593.8,31
Vulnerable (Naive),6,28992.4,32
Safe (PyCryptodome),6,3777.4,32
Vulnerable (Naive),6,20794.6,33
Safe (PyCryptodome),6,7393.6,33
Vulnerable (Naive),6,36326.0,34
Safe (PyCryptodome),6,7798.6,34
Vulnerable (Naive),6,33934.0,35
Safe (PyCryptodome),6,3626.4,35
Vulnerable (Naive),6,35158.4,36
Safe (PyCryptodome),6,6485.2,36
Vulnerable (Naive),6,36220.6,37
