implementation,byte_value,time_ns,sample_id
Safe (PyCryptodome),2,2129.4,36
Vulnerable (Naive),2,8854.4,37
Safe Toy (CT SBox),2,36542.0,37
Safe (PyCryptodome),2,2085.2,37
Vulnerable (Naive),2,8408.2,38
Safe Toy (CT SBox),2,36166.8,38
Safe (PyCryptodome),2,2092.2,38
Vulnerable (Naive),2,8513.8,39
Safe Toy (CT SBox),2,36794.8,39
Safe (PyCryptodome),2,2429.4,39
Vulnerable (Naive),2,9321.2,40
Safe Toy (CT SBox),2,54990.2,40
Safe (PyCryptodome),2,3782.4,40
Vulnerable (Naive),2,10887.4,41
Safe Toy (CT SBox),2,36668.6,41
Safe (PyCryptodome),2,2138.2,41
Vulnerable (Naive),2,8551.8,42
Safe Toy (CT SBox),2,37053.0,42
Safe (PyCryptodome),2,2054.6,42
Vulnerable (Naive),2,8315.2,43
Safe Toy (CT SBox),2,34630.2,43
Safe (PyCryptodome),2,1996.8,43
Vulnerable (Naive),2,8278.4,44
Safe Toy (CT SBox),2,81286.0,44
Safe (PyCryptodome),2,5642.6,44
Vulnerable (Naive),2,23267.0,45
Safe Toy (CT SBox),2,95461.0,45
Safe (PyCryptodome),2,5795.8,45
Vulnerable (Naive),2,19662.4,46
Safe Toy (CT SBox),2,84698.8,46
Safe (PyCryptodome),2,5148.0,46
Vulnerable (Naive),2,19639.4,47
Safe Toy (CT SBox),2,77764.4,47
Safe (PyCryptodome),2,4058.4,47
Vulnerable (Naive),2,18865.2,48
Safe Toy (CT SBox),2,66590.4,48
Safe (PyCryptodome),2,3820.2,48
Vulnerable (Naive),2,15477.4,49
Safe Toy (CT SBox),2,50474.4,49
Safe (PyCryptodome),2,2712.8,49
Vulnerable (Naive),3,10726.4,0
Safe Toy (CT SBox),3,58334.6,0
Safe (PyCryptodome),3,2676.8,0
Vulnerable (Naive),3,10353.8,1
Safe Toy (CT SBox),3,41254.2,1
Safe (PyCryptodome),3,2498.0,1
Vulnerable (Naive),3,10223.6,2
Safe Toy (CT SBox),3,92738.8,2
Safe (PyCryptodome),3,4329.6,2
Vulnerable (Naive),3,18535.4,3
Safe Toy (CT SBox),3,89616.8,3
Safe (PyCryptodome),3,4066.6,3
Vulnerable (Naive),3,19639.2,4
Safe Toy (CT SBox),3,93625.2,4
Safe (PyCryptodome),3,6291.0,4
Vulnerable (Naive),3,17562.0,5
Safe Toy (CT SBox),3,93535.8,5
Safe (PyCryptodome),3,5037.2,5
Vulnerable (Naive),3,16058.0,6
Safe Toy (CT SBox),3,66993.2,6
Safe (PyCryptodome),3,3513.2,6
Vulnerable (Naive),3,13990.4,7
Safe Toy (CT SBox),3,85422.2,7
Safe (PyCryptodome),3,6495.6,7
Vulnerable (Naive),3,19626.2,8
Safe Toy (CT SBox),3,92370.6,8
Safe (PyCryptodome),3,5555.6,8
Vulnerable (Naive),3,23231.6,9
Safe Toy (CT SBox),3,87374.4,9
Safe (PyCryptodome),3,6312.4,9
Vulnerable (Naive),3,26820.8,10
Safe Toy (CT SBox),3,101033.8,10
Safe (PyCryptodome),3,5528.0,10
Vulnerable (Naive),3,21629.2,11
Safe Toy (CT SBox),3,103973.8,11
Safe (PyCryptodome),3,5248.0,11
Vulnerable (Naive),3,20241.0,12
Safe Toy (CT SBox),3,113988.0,12
Safe (PyCryptodome),3,4461.4,12
Vulnerable (Naive),3,18847.8,13
Safe Toy (CT SBox),3,73708.6,13
Safe (PyCryptodome),3,3516.8,13
Vulnerable (Naive),3,19087.8,14
Safe Toy (CT SBox),3,71457.8,14
Safe (PyCryptodome),3,4869.0,14
Vulnerable (Naive),3,21924.4,15
Safe Toy (CT SBox),3,58154.8,15
Safe (PyCryptodome),3,4399.8,15
Vulnerable (Naive),3,18771.4,16
Safe Toy (CT SBox),3,71569.8,16
Safe (PyCryptodome),3,4317.4,16
Vulnerable (Naive),3,18521.4,17
Safe Toy (CT SBox),3,58207.8,17
Safe (PyCryptodome),3,2303.2,17
Vulnerable (Naive),3,13468.0,18
Safe Toy (CT SBox),3,64188.2,18
Safe (PyCryptodome),3,6751.0,18
Vulnerable (Naive),3,15434.6,19
Safe Toy (CT SBox),3,72072.0,19
